1d,7d
39693.5577,40836.7316
40192.4551,41991.8596
41338.2734,43130.4285
42809.2878,45641.1111
43215.1948,47108.705
43275.9415,47073.0731
43290.5833,47249.6301
43470.5271,47369.0773
43793.8924,47658.941
43628.0155,47660.5668
43603.6674,47605.1895
44646.8666,47537.5814
42433.714,44416.4169
41610.2499,42522.6172
40812.1805,42108.6394
39737.2834,41639.0663
39889.5352,41830.5778
38877.3042,40455.4426
38257.7219,40315.9229
37368.9279,39059.5814
37122.6365,39789.2051
37064.6869,39627.3366
37649.3806,39651.5377
37843.4847,40559.1758
38791.7676,40714.0958
39655.5199,42095.3685
40892.1413,42956.7728
42993.616,44536.0286
43203.0374,45648.1828
43887.1416,46202.7599
44229.831,45544.4971
44504.3978,45283.6279
44810.765,45158.5172
44714.1785,44996.8639
44639.6771,45037.9546
44474.496,45260.4795
42171.5614,42420.8457
41785.0916,40573.1914
40504.9559,39944.5708
39759.4431,39592.1782
40588.4242,39026.4009
40046.3666,37967.2718
39455.477,37796.9581
38431.8391,36784.3642
37706.5143,37144.165
38182.4117,37555.559
37874.0888,38262.4532
38805.9221,39014.0899
39217.5962,39593.6647
40015.644,40955.3067
40967.3623,41047.4783
42957.0909,42529.2246
43559.8736,42823.253
43520.4785,43252.1991
43716.8933,43393.7818
43904.1987,43562.7903
43984.8265,43808.3124
44113.4719,44023.6835
43891.114,43878.7851
44493.6574,44393.7225
42640.3852,42038.4705
41634.2558,41281.231
40593.9152,40877.6785
40021.5592,39877.0881
39645.2854,40204.2267
39222.0149,38849.3576
38975.2855,38719.6211
37605.2056,38218.898
37827.9997,37885.2274
38219.3027,37569.7565
38773.5594,38294.8561
39511.9388,39055.2818
39550.7672,39153.5418
40554.6619,39767.2716
40919.4479,40380.8791
43068.9555,41692.4363
43366.1106,42521.6691
43534.9926,42706.5797
43661.714,42672.0739
43725.1504,42939.9802
44018.7131,43364.1655
43834.9713,43396.1336
44011.9204,42965.2321
44057.5469,42766.4559
42282.94,42442.2148
41068.0161,42272.4124
40816.2374,41827.3651
39712.9244,42004.7734
39913.2397,41361.7114
38673.1794,40376.3423
37944.3094,39980.3219
37770.6187,38987.8166
37838.9356,39074.3603
38382.5294,38491.3111
38287.5642,38263.7796
38540.7983,37971.4847
38460.1394,38269.0344
38907.6956,39178.5175
39437.488,39582.5744
41467.3532,41326.6939
42263.4406,42200.0399
42703.6078,42364.2888
42677.2743,42240.9693
42730.5641,42522.88
43198.3974,42744.598
