,연도,월,요일,노선명,전염병,승하차총승객수
1531,2015,10,5,8,1,1523288.0
1532,2015,10,5,9,1,2367739.0
1547,2015,10,6,1,1,2481194.0
1548,2015,10,6,2,1,13865608.0
1549,2015,10,6,3,1,4967431.0
1550,2015,10,6,4,1,5519143.0
1551,2015,10,6,5,1,5421741.0
1552,2015,10,6,6,1,3213542.0
1553,2015,10,6,7,1,6596995.0
1554,2015,10,6,8,1,1493914.0
1555,2015,10,6,9,1,2341836.0
1570,2015,10,7,1,1,2460390.0
1571,2015,10,7,2,1,13634072.0
1572,2015,10,7,3,1,4899971.0
1573,2015,10,7,4,1,5379043.0
1574,2015,10,7,5,1,5337343.0
1575,2015,10,7,6,1,3136379.0
1576,2015,10,7,7,1,6525608.0
1577,2015,10,7,8,1,1474014.0
1578,2015,10,7,9,1,2319726.0
1593,2015,11,1,1,0,1945825.0
1594,2015,11,1,2,0,9736575.0
1595,2015,11,1,3,0,3579434.0
1596,2015,11,1,4,0,4094931.0
1597,2015,11,1,5,0,3444972.0
1598,2015,11,1,6,0,2206086.0
1599,2015,11,1,7,0,4473889.0
1600,2015,11,1,8,0,1047981.0
1601,2015,11,1,9,0,1543815.0
1616,2015,11,2,1,0,2371987.0
1617,2015,11,2,2,0,11310822.0
1618,2015,11,2,3,0,4261531.0
1619,2015,11,2,4,0,4748915.0
1620,2015,11,2,5,0,4039433.0
1621,2015,11,2,6,0,2571434.0
1622,2015,11,2,7,0,5044475.0
1623,2015,11,2,8,0,1145712.0
1624,2015,11,2,9,0,1748470.0
1639,2015,11,3,1,0,2693357.0
1640,2015,11,3,2,0,14741923.0
1641,2015,11,3,3,0,5350522.0
1642,2015,11,3,4,0,5756371.0
1643,2015,11,3,5,0,5572870.0
1644,2015,11,3,6,0,3257824.0
1645,2015,11,3,7,0,6746135.0
1646,2015,11,3,8,0,1535178.0
1647,2015,11,3,9,0,2397875.0
1662,2015,11,4,1,0,2536747.0
1663,2015,11,4,2,0,14175593.0
1664,2015,11,4,3,0,5086924.0
